5,11,,
0,1,Eliza_Resistance_Joy,전장을 희생 없이 끝낼 수 있다니… 믿기 어렵군요. 대단합니다 대장.
1,0,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.)
2,1,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.
3,0,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.)
4,1,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.
5,0,Eliza_Resistance_Despair30,그래, 희생 없이 승리해보자.
6,0,Eliza_Resistance_Despair30,
7,1,Eliza_Resistance_Despair30,네, 대장. 작전지로 출발합니다. 알렌을 위해!
8,1,Eliza_Resistance_Despair30,총리가 20시에 연설에 나섭니다. 절호의 기회지만, 위험도 따르겠죠.
9,0,Eliza_Resistance_Despair30,협정 당일, 병력을 분산시키려면 미리 놈들의 기지를 타격해야 해.
10,1,Eliza_Resistance_Despair30,맞습니다. 다음 전투에서 지원사격으로 균열을 만들어보겠습니다.